batch_id,separator,mod,plugin,plugin_path,input_id,selected_signature_counts
NQ003,Animations - Modded Bosses Movesets,Penetrator MCO SCAR Boss MOD,ThePenetratorBoss.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Penetrator MCO SCAR Boss MOD\ThePenetratorBoss.esp,cddc188fcf9bc5cc,ARMO:5|ENCH:1|SPEL:3|WEAP:1
NQ003,Animations - Stances,Stances NG,StancesNG.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Stances NG\StancesNG.esp,b422ac709204a2cf,KYWD:1|SPEL:7
NQ003,Armor and Weapons - Modded,[Nyym] Obi's Cimmerian UBE,Obi's Cimmerian UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\[Nyym] Obi's Cimmerian UBE\Obi's Cimmerian UBE patch.esp,802970c617ffa666,ARMO:6
NQ003,Armor and Weapons - Modded,Ancient Argonian Armor - My patches SE by Xtudo,1AncArgArm.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ancient Argonian Armor - My patches SE by Xtudo\1AncArgArm.esp,04cbe1e99ad0b12e,ARMO:5
NQ003,Armor and Weapons - Modded,Ancient Argonian Armor SE,1AncArgArm.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ancient Argonian Armor SE\1AncArgArm.esp,1440d7270e65a224,ARMO:5|CONT:1
NQ003,Armor and Weapons - Modded,Arcane Mage Armor 3BA,[FB] Arcane Mage Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Arcane Mage Armor 3BA\[FB] Arcane Mage Armor.esp,ee3a50fa0614d6d7,ARMO:19
NQ004,Armor and Weapons - Modded,Arcane Mage Armor UBE,[FB] Arcane Mage Armor UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Arcane Mage Armor UBE\[FB] Arcane Mage Armor UBE patch.esp,1f72994e19afbcb7,ARMO:19
NQ004,Armor and Weapons - Modded,Armors of the Velothi Pt. I,Armors of the Velothi.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Armors of the Velothi Pt. I\Armors of the Velothi.esp,7a44a0d50aa896ab,ARMO:51|CONT:1
NQ004,Armor and Weapons - Modded,Armors of the Velothi Pt. II,Armors of the Velothi Pt2.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Armors of the Velothi Pt. II\Armors of the Velothi Pt2.esp,1edcf83daa2f3dbf,AMMO:1|ARMO:78|CONT:1|ENCH:2|FLST:1|WEAP:7
NQ004,Armor and Weapons - Modded,Asura's Guard - 3BA - BHUNP - CBBE -,Asuras Guard [Armor].esp,D:\Wabbajack\modlists\ARR 2.5\mods\Asura's Guard - 3BA - BHUNP - CBBE -\Asuras Guard [Armor].esp,946275d5681afbfc,ARMO:6
NQ004,Armor and Weapons - Modded,Blood Horker Pirates Outfit,ksa_bhpirate.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Blood Horker Pirates Outfit\ksa_bhpirate.esp,95921ff48443a197,ARMO:7
NQ004,Armor and Weapons - Modded,Bone Cultist Armor,Bone Cultist Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Bone Cultist Armor\Bone Cultist Armor.esp,9974c8f19bc84c6f,ARMO:8
NQ004,Armor and Weapons - Modded,Common Clothing Expansion,Common Clothing Expanded.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Common Clothing Expansion\Common Clothing Expanded.esp,ef37703ebefeab74,ARMO:5
NQ004,Armor and Weapons - Modded,Common Clothing Expansion - Raident Raiment,0CCE_RadiantRaiments.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Common Clothing Expansion - Raident Raiment\0CCE_RadiantRaiments.esp,6c7212cfd61dca57,CONT:1
NQ004,Armor and Weapons - Modded,Dark Apprentice - UBE SMP,(SmolSaltLemon) Dark Apprentice UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dark Apprentice - UBE SMP\(SmolSaltLemon) Dark Apprentice UBE patch.esp,007fe8d4333b3a00,ARMO:12
NQ004,Armor and Weapons - Modded,Dark Apprentice (3BA SMP),(SmolSaltLemon) Dark Apprentice.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dark Apprentice (3BA SMP)\(SmolSaltLemon) Dark Apprentice.esp,9605bd7b075050c3,ARMO:12|MISC:1
NQ005,Armor and Weapons - Modded,DD - FVO Cloth II,DD FVO Cloth.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DD - FVO Cloth II\DD FVO Cloth.esp,4a02d25e01489508,ARMO:32|CONT:1|WEAP:1
NQ005,Armor and Weapons - Modded,DD - Sigrin Silver Fox armor by Vergi CBBE 3BA SMP,DD  - Sigrin Silver Fox armor by Vergi.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DD - Sigrin Silver Fox armor by Vergi CBBE 3BA SMP\DD  - Sigrin Silver Fox armor by Vergi.esp,91a1f3b0680f5fd3,ARMO:19
NQ005,Armor and Weapons - Modded,DD - Sigrin Silver Fox armor by Vergi UBE,DD  - Sigrin Silver Fox armor by Vergi UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DD - Sigrin Silver Fox armor by Vergi UBE\DD  - Sigrin Silver Fox armor by Vergi UBE patch.esp,95ec4c320b0b7729,ARMO:19
NQ005,Armor and Weapons - Modded,DDV - Hal's casual outfit,DDV - Hal's casual outfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DDV - Hal's casual outfit\DDV - Hal's casual outfit.esp,2366c458c06fb535,ARMO:44
NQ005,Armor and Weapons - Modded,DDV - Hal's casual outfit - UBE,DDV - Hal's casual outfit UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DDV - Hal's casual outfit - UBE\DDV - Hal's casual outfit UBE patch.esp,f9f5f68a0a81c4ba,ARMO:44
NQ005,Armor and Weapons - Modded,DDV - Ruby Flower Armor,DDV - Ruby flower armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DDV - Ruby Flower Armor\DDV - Ruby flower armor.esp,7be2aec54a7d018f,ARMO:20|WEAP:2
NQ005,Armor and Weapons - Modded,Dibella's Grace (HDT-SMP),ksssl_dbgc.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dibella's Grace (HDT-SMP)\ksssl_dbgc.esp,c3460052a31bbddf,ARMO:2
NQ005,Armor and Weapons - Modded,ELLE - Lastriem,[ELLE] Lastriem.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ELLE - Lastriem\[ELLE] Lastriem.esp,581a4090975c0833,ARMO:7|BOOK:1
NQ005,Armor and Weapons - Modded,ELLE - Lastriem - UBE,[ELLE] Lastriem UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ELLE - Lastriem - UBE\[ELLE] Lastriem UBE patch.esp,bd3c46b1770b22ba,ARMO:7
NQ005,Armor and Weapons - Modded,ELLE - Sparrows Mage 3BA,[ELLE] Sparrows Mage.esp,D:\Wabbajack\modlists\ARR 2.5\mods\ELLE - Sparrows Mage 3BA\[ELLE] Sparrows Mage.esp,761aece176797353,ARMO:5
NQ006,Armor and Weapons - Modded,Falmer Slayer - 3BA,FalmerSlayer.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Falmer Slayer - 3BA\FalmerSlayer.esp,78f4203cdaaab8c3,ARMO:21|BOOK:1
NQ006,Armor and Weapons - Modded,Falmer Slayer - HIMBO,FalmerSlayer.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Falmer Slayer - HIMBO\FalmerSlayer.esp,b5c229044da3f0f1,ARMO:21|BOOK:1
NQ006,Armor and Weapons - Modded,Falmer Slayer - UBE Conversion,FalmerSlayer UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Falmer Slayer - UBE Conversion\FalmerSlayer UBE patch.esp,54973860a136db56,ARMO:21
NQ006,Armor and Weapons - Modded,Fearless Lass - Female Armor,Lass Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fearless Lass - Female Armor\Lass Armor.esp,45974ac98d4d24da,ARMO:2
NQ006,Armor and Weapons - Modded,Fluted Armor - Weighted Sliders,1FlutedArmor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fluted Armor - Weighted Sliders\1FlutedArmor.esp,f4cc75e9754decfe,ARMO:6
NQ006,Armor and Weapons - Modded,Fluted Armor SE,1FlutedArmor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fluted Armor SE\1FlutedArmor.esp,b3f3e155160db2db,ARMO:6
NQ006,Armor and Weapons - Modded,Fuse00 - ArmorHelga - CBBE,_Fuse00_ArmorHelga.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - ArmorHelga - CBBE\_Fuse00_ArmorHelga.esp,66ef188ba1b91005,ARMO:4
NQ006,Armor and Weapons - Modded,Fuse00 - Scout Armor 3BA,_Fuse00_ArmorScout.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - Scout Armor 3BA\_Fuse00_ArmorScout.esp,b81bbf56ef45b927,ARMO:4
NQ006,Armor and Weapons - Modded,Fuse00 - Scout Armor UBE,_Fuse00_ArmorScout UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - Scout Armor UBE\_Fuse00_ArmorScout UBE patch.esp,d77abdd3991df2f5,ARMO:4
NQ006,Armor and Weapons - Modded,Fuse00 - Thalmor Investigator UBE,_Fuse00_ArmorThalmor UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Fuse00 - Thalmor Investigator UBE\_Fuse00_ArmorThalmor UBE patch.esp,30f12f2611717bad,ARMO:7
NQ007,Armor and Weapons - Modded,Ghostblade - Truly Unique,FGCGhostbladeTrulyUniqueModelOnly.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Ghostblade - Truly Unique\FGCGhostbladeTrulyUniqueModelOnly.esp,5db2109122d87db1,WEAP:1
NQ007,Armor and Weapons - Modded,Gilded Doublet - Ported to SSE,el_gildeddoubletsetcolor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Gilded Doublet - Ported to SSE\el_gildeddoubletsetcolor.esp,b1df51b59e53984f,ARMO:20
NQ007,Armor and Weapons - Modded,Girl's Travel Outfit - 3BA,Girl's Travel Outfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Girl's Travel Outfit - 3BA\Girl's Travel Outfit.esp,ca6b030b1ec3d4ca,ARMO:4
NQ007,Armor and Weapons - Modded,Girl's Travel Outfit - Recolors,Girl's Travel Outfit Recolors.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Girl's Travel Outfit - Recolors\Girl's Travel Outfit Recolors.esp,42886744f720512d,ARMO:6
NQ007,Armor and Weapons - Modded,Girl's Travel Outfit - UBE,Girl's Travel Outfit UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Girl's Travel Outfit - UBE\Girl's Travel Outfit UBE patch.esp,08fad86c3c1e6478,ARMO:4
NQ007,Armor and Weapons - Modded,Glasses Pack Vol.1,[Caenarvon] Glasses Pack.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Glasses Pack Vol.1\[Caenarvon] Glasses Pack.esp,63e852e2519a0e9b,ARMO:24
NQ007,Armor and Weapons - Modded,Glasses Pack Vol.1 - UBE,[Caenarvon] Glasses Pack UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Glasses Pack Vol.1 - UBE\[Caenarvon] Glasses Pack UBE patch.esp,90a8256f6d970546,ARMO:24
NQ007,Armor and Weapons - Modded,Gleamstrike,FGCGleamstrike.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Gleamstrike\FGCGleamstrike.esp,dbf7a7174161aa34,ACTI:5|BOOK:1|ENCH:4|KYWD:4|PERK:4|SPEL:12|WEAP:4
NQ007,Armor and Weapons - Modded,Gryphonknight Regalia - Breton Noble Armor,GVLT_Gryphonknight.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Gryphonknight Regalia - Breton Noble Armor\GVLT_Gryphonknight.esp,59aec89fdcdecddc,ARMO:5|BOOK:1|WEAP:3
NQ007,Armor and Weapons - Modded,HDT-SMP Fluted Armor HIMBO,FlutedArmor_PauldronPatch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HDT-SMP Fluted Armor HIMBO\FlutedArmor_PauldronPatch.esp,60bfe12d2687ffc0,ARMO:1
NQ008,Armor and Weapons - Modded,HDT-SMP Infantry Armor Patch,1FS.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HDT-SMP Infantry Armor Patch\1FS.esp,f3004fd70dd8b22b,ARMO:8|CONT:1|WEAP:1
NQ008,Armor and Weapons - Modded,HDT-SMP Ysmir Armor Patch,1YsmirArmorSE.esp,D:\Wabbajack\modlists\ARR 2.5\mods\HDT-SMP Ysmir Armor Patch\1YsmirArmorSE.esp,0516e27e9fe122f0,ARMO:4|CONT:1
NQ008,Armor and Weapons - Modded,Helga - SE by Xtudo - My fixes CBBE,_Fuse00_ArmorHelga.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Helga - SE by Xtudo - My fixes CBBE\_Fuse00_ArmorHelga.esp,24b44015526ec175,ARMO:10
NQ008,Armor and Weapons - Modded,Helga Armor 3BA,_Fuse00_ArmorHelga.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Helga Armor 3BA\_Fuse00_ArmorHelga.esp,4787f3f9e60a919c,ARMO:4
NQ008,Armor and Weapons - Modded,Infantry Armor SE,1FS.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Infantry Armor SE\1FS.esp,93d4678eb84c0f14,ARMO:8|CONT:1|WEAP:1
NQ008,Armor and Weapons - Modded,Jade Dragon Katana 1-2h SE,K_JadeDragonKatana.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Jade Dragon Katana 1-2h SE\K_JadeDragonKatana.esp,845de854f7641c5e,WEAP:2
NQ008,Armor and Weapons - Modded,Khajiit Armory Rebalance and Intergration,Khajiit Armory Rebalance.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Khajiit Armory Rebalance and Intergration\Khajiit Armory Rebalance.esp,ebcfb1bcfa8cb63b,AMMO:1|ARMO:97|BOOK:1|CONT:3|WEAP:1
NQ008,Armor and Weapons - Modded,Lunar Guard - Standalone (ish) - No GCON,[LM] LunarGuard - Standalone.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lunar Guard - Standalone (ish) - No GCON\[LM] LunarGuard - Standalone.esp,97a25eae742eca75,ARMO:4
NQ008,Armor and Weapons - Modded,Mage's Daily Outfit,Mage's Daily Outfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Mage's Daily Outfit\Mage's Daily Outfit.esp,ffa28a13408f8e44,ARMO:8
NQ008,Armor and Weapons - Modded,Mage's Daily Outfit - Seperated Parts Addon,Mage's Daily Outfit - Separated Parts Addon.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Mage's Daily Outfit - Seperated Parts Addon\Mage's Daily Outfit - Separated Parts Addon.esp,7ba5de4c455e32da,ARMO:4
NQ009,Armor and Weapons - Modded,MAGECORE - hdt SMP (CBBE 3BA),[Caenarvon] Magecore.esp,D:\Wabbajack\modlists\ARR 2.5\mods\MAGECORE - hdt SMP (CBBE 3BA)\[Caenarvon] Magecore.esp,9ce15399d8688b67,ARMO:169|CONT:5|KYWD:3
